condition_id,ring number,geology_1,geology_2,geology_3,geology_4,geology_5,geology_6,cutter speed,total thrust,grouting pressure,sync grouting volume,stock solution ratio,foam pressure,expansion rate,dosage,cutter torque,tunneling speed
1,522.0,0.0,0.0,0.0,1.0,0.0,0.0,1.5,18300.0,1.67,8.93,2.5,2.26,11.0,72.3,4280.0,22.0
1,522.0,0.0,0.0,0.0,1.0,0.0,0.0,1.5,17800.0,1.77,8.95,2.5,2.22,11.0,72.1,4090.0,12.0
1,522.0,0.0,0.0,0.0,1.0,0.0,0.0,1.6,18100.0,1.7,9.0,2.5,2.21,11.0,72.2,3530.0,8.0
1,522.0,0.0,0.0,0.0,1.0,0.0,0.0,1.5,18300.0,1.67,8.93,2.5,2.26,11.0,72.3,4280.0,22.0
1,522.0,0.0,0.0,0.0,1.0,0.0,0.0,1.5,18700.0,1.67,8.8,2.5,2.25,11.0,72.2,4630.0,16.0
1,522.0,0.0,0.0,0.0,1.0,0.0,0.0,1.5,17800.0,1.77,8.95,2.5,2.22,11.0,72.1,4090.0,12.0
1,522.0,0.0,0.0,0.0,1.0,0.0,0.0,1.5,17800.0,1.77,8.95,2.5,2.22,11.0,72.1,4090.0,12.0
1,522.0,0.0,0.0,0.0,1.0,0.0,0.0,1.5,18700.0,1.67,8.8,2.5,2.25,11.0,72.2,4630.0,16.0
1,522.0,0.0,0.0,0.0,1.0,0.0,0.0,1.5,18100.0,1.7,8.71,2.5,2.19,11.0,72.1,3820.0,20.0
1,522.0,0.0,0.0,0.0,1.0,0.0,0.0,1.6,18100.0,1.7,9.0,2.5,2.21,11.0,72.2,3530.0,8.0
1,522.0,0.0,0.0,0.0,1.0,0.0,0.0,1.5,18900.0,1.53,9.21,2.5,2.22,11.0,72.2,3470.0,10.0
1,522.0,0.0,0.0,0.0,1.0,0.0,0.0,1.5,18300.0,1.67,8.93,2.5,2.26,11.0,72.3,4280.0,22.0
1,522.0,0.0,0.0,0.0,1.0,0.0,0.0,1.5,17800.0,1.77,8.95,2.5,2.22,11.0,72.1,4090.0,12.0
1,522.0,0.0,0.0,0.0,1.0,0.0,0.0,1.5,17800.0,1.77,8.95,2.5,2.22,11.0,72.1,4090.0,12.0
1,522.0,0.0,0.0,0.0,1.0,0.0,0.0,1.5,18700.0,1.67,8.8,2.5,2.25,11.0,72.2,4630.0,16.0
1,522.0,0.0,0.0,0.0,1.0,0.0,0.0,1.5,18700.0,1.7,8.85,2.5,2.22,11.0,72.2,4540.0,15.0
1,522.0,0.0,0.0,0.0,1.0,0.0,0.0,1.5,18700.0,1.7,8.85,2.5,2.22,11.0,72.2,4540.0,15.0
1,522.0,0.0,0.0,0.0,1.0,0.0,0.0,1.6,18100.0,1.7,9.0,2.5,2.21,11.0,72.2,3530.0,8.0
1,522.0,0.0,0.0,0.0,1.0,0.0,0.0,1.5,18700.0,1.7,8.85,2.5,2.22,11.0,72.2,4540.0,15.0
1,522.0,0.0,0.0,0.0,1.0,0.0,0.0,1.5,18700.0,1.7,8.85,2.5,2.22,11.0,72.2,4540.0,15.0
1,522.0,0.0,0.0,0.0,1.0,0.0,0.0,1.5,18100.0,1.7,8.71,2.5,2.19,11.0,72.1,3820.0,20.0
